"Geo_GEOID","Geo_NAME","SE_T002_001","SE_T002_002","SE_T002_003","SE_T012_001","SE_T012_002","SE_T012_003","SE_T057_001","SE_T098_001","SE_T104_001","B25077001","B25077001s","lng","lat"
"05000US05043","Drew County, Arkansas","18688","22.56041","828.3539105","36.8","34","39.4","33092","1983","626","94200","4794.545455", -91.71999727120127, 33.58944444786881
"05000US05045","Faulkner County, Arkansas","120417","185.8538","647.9124135","31.9","31.5","32.4","50872","1994","754","149900","2021.212121", -92.33204335123006, 35.14698252518876
"05000US05047","Franklin County, Arkansas","17799","29.23342","608.8579993","41","40.1","41.7","39482","1982","589","94000","3869.090909", -93.89063790212873, 35.512319392271344
"05000US05049","Fulton County, Arkansas","12186","19.71228","618.1933939","48.2","46.8","48.9","35593","1981","488","88500","7440.606061", -91.8182162921197, 36.38166190969436
"05000US05051","Garland County, Arkansas","97119","143.2826","677.8142416","44.1","42.8","45.6","40011","1981","713","133700","2833.939394", -93.15041053600264, 34.57666770521403
"05000US05053","Grant County, Arkansas","18046","28.56233","631.8112733","39.3","39.1","39.6","49195","1986","700","117800","4387.878788", -92.42361081606775, 34.289999195280515
"05000US05055","Greene County, Arkansas","43745","75.72422","577.6883229","38.2","36.9","39.3","42755","1985","685","105300","2989.69697", -90.55897872633935, 36.11756615223146
"05000US05057","Hempstead County, Arkansas","22208","30.52561","727.5202819","38.5","37.3","39.6","34072","1978","597","76300","2442.424242", -93.66847779755786, 33.735323473740465
"05000US05059","Hot Spring County, Arkansas","33440","54.35566","615.2072735","40.9","39.1","42.6","42589","1980","654","85600","2418.181818", -92.94594096923834, 34.317629151099545
"05000US05061","Howard County, Arkansas","13487","22.915","588.5665447","38.6","38.6","38.6","34672","1978","546","90100","4924.242424", -93.99348274725575, 34.08877034529164
"05000US05063","Independence County, Arkansas","37030","48.47152","763.9536986","39.2","37.7","40.9","37592","1982","582","99900","4076.363636", -91.5697086705151, 35.74157262446177
"05000US05065","Izard County, Arkansas","13461","23.18559","580.5759965","48.1","46.2","50.5","35188","1980","564","77600","2472.727273", -91.91341296258857, 36.09487571737122
"05000US05067","Jackson County, Arkansas","17495","27.59739","633.9368244","40.8","40.2","41.8","31245","1974","550","63600","2647.878788", -91.21455195353923, 35.59927405306522
"05000US05069","Jefferson County, Arkansas","72385","83.12991","870.7455324","38.7","36.5","40.8","36377","1975","681","81900","2007.272727", -91.93151285679983, 34.26878308819406
"05000US05071","Johnson County, Arkansas","26025","39.43839","659.8900566","38","36.7","38.9","34031","1982","600","90100","2706.666667", -93.45989506826211, 35.570068543475585
"05000US05073","Lafayette County, Arkansas","7127","13.49056","528.2951674","45.3","42.7","47","29882","1975","428","63300","4242.424242", -93.6070546864884, 33.24094540362562
"05000US05075","Lawrence County, Arkansas","16915","28.78574","587.6173635","41.8","40.5","42.8","33381","1976","526","69700","1895.757576", -91.1070869124235, 36.04125542071907
"05000US05077","Lee County, Arkansas","9781","16.23076","602.6212075","40.9","38.1","44.7","25724","1974","524","64600","3126.060606", -90.7821431184512, 34.780657306572785
"05000US05079","Lincoln County, Arkansas","13935","24.81472","561.5618296","37.6","36.1","42.9","32369","1981","563","65000","4006.060606", -91.73332919150805, 33.95744309188777
"05000US05081","Little River County, Arkansas","12616","23.70286","532.2564151","41.6","38.4","44","35396","1977","537","73700","2667.272727", -94.23434658306978, 33.700511447751154
"05000US05083","Logan County, Arkansas","21935","30.97641","708.1195928","42.8","42.7","42.8","36463","1978","580","87400","2176.969697", -93.71632455079218, 35.215271863075316
"05000US05085","Lonoke County, Arkansas","71279","92.45847","770.9299286","35.8","34.6","36.8","56156","1994","738","131700","2307.878788", -91.88866341785922, 34.75427832659184
"05000US05087","Madison County, Arkansas","15761","18.89235","834.2532058","42.3","41.4","43.3","39839","1984","627","100100","7463.030303", -93.72455331047723, 36.01095490531425
"05000US05089","Marion County, Arkansas","16404","27.47699","597.0087027","51.5","50.9","51.9","33726","1981","554","109700","4427.878788", -92.68422960835333, 36.268382021714324
"05000US05091","Miller County, Arkansas","43666","69.79998","625.587578","37.6","36.1","40.4","39955","1980","693","99600","4350.30303", -93.89155248726269, 33.3120925640195
