Geo_GEOID,Geo_NAME,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T057_001,SE_T098_001,SE_T104_001,ACS16_5yr_B25077001,ACS16_5yr_B25077001s
05000US12007,"Bradford County, Florida",26919,91.57254,293.9636662,41,37.2,45.1,43373,1982,734,92000,6518.787879
05000US12009,"Brevard County, Florida",560683,552.1837,1015.392133,47,45.4,48.3,49914,1985,936,150500,1118.181818
05000US12011,"Broward County, Florida",1863780,1544.199,1206.95614,40,38.7,41.2,52954,1979,1226,202300,1423.030303
05000US12013,"Calhoun County, Florida",14550,25.64625,567.3343599,40.6,39.8,42.6,37089,1986,652,80300,5600
05000US12015,"Charlotte County, Florida",169642,249.0617,681.1244654,57.7,56.7,58.5,44865,1988,905,154400,2061.818182
05000US12017,"Citrus County, Florida",140453,241.372,581.8943532,55.7,54.9,56.6,39054,1988,775,114300,2052.727273
05000US12019,"Clay County, Florida",200346,331.2556,604.807942,39.4,38.1,40.2,59179,1992,1028,157600,1938.181818
05000US12021,"Collier County, Florida",348236,174.2251,1998.770478,49.2,47.4,50.8,59783,1992,1125,291900,3562.424242
05000US12023,"Columbia County, Florida",68198,85.51007,797.5434759,40.7,38.4,42.9,42848,1990,781,105100,3124.848485
05000US12027,"DeSoto County, Florida",35134,55.15022,637.0600883,40.2,38.7,42.2,35513,1989,666,82300,2013.939394
05000US12029,"Dixie County, Florida",16084,22.8108,705.1045117,46.3,44.1,49.3,34634,1987,644,69600,3848.484848
05000US12031,"Duval County, Florida",900890,1181.286,762.63465,36,34.6,37.6,49196,1982,962,146400,1046.060606
05000US12033,"Escambia County, Florida",309574,471.2734,656.8883192,37.1,34.8,39.5,46117,1982,901,121800,1213.333333
05000US12035,"Flagler County, Florida",102917,211.9939,485.4716053,50.1,48.7,50.9,48898,1998,1079,174700,2055.151515
05000US12037,"Franklin County, Florida",11705,21.47135,545.1449381,43.8,40.6,47.9,40301,1987,723,124500,7629.090909
05000US12039,"Gadsden County, Florida",46153,89.39301,516.2932091,40.3,38.9,41.3,38533,1984,693,105100,3949.090909
05000US12041,"Gilchrist County, Florida",17033,48.70818,349.6948774,42.3,37,45.9,40881,1992,624,94400,5201.212121
05000US12043,"Glades County, Florida",13420,16.63619,806.675058,45.1,44.5,46.7,34143,1987,710,79200,6003.636364
05000US12045,"Gulf County, Florida",15851,28.63323,553.5875409,44.5,41.2,49.5,40822,1988,836,131400,12993.93939
05000US12047,"Hamilton County, Florida",14362,27.95348,513.7821241,40.9,37,44.7,38980,1988,571,71000,3657.575758
05000US12049,"Hardee County, Florida",27302,42.80721,637.7897905,34.3,33,36.1,36222,1985,645,78800,2553.939394
05000US12051,"Hendry County, Florida",38376,33.18852,1156.30339,33.8,32.7,35.4,37552,1987,692,70600,3376.363636
05000US12053,"Hernando County, Florida",176797,373.916,472.8254432,48.9,47.3,50.2,42274,1989,904,112300,1266.666667
05000US12055,"Highlands County, Florida",98862,97.249,1016.586245,52.6,50.7,54.2,35865,1986,731,86600,1722.424242
